yearDraft,numberPickOverall,numberRound,numberRoundPick,namePlayer,slugTeam,nameOrganizationFrom,typeOrganizationFrom,idPlayer,idTeam,nameTeam,cityTeam,teamName,slugOrganizationTypeFrom,locationOrganizationFrom
2005,22,1,22,Jarrett Jack,DEN,Georgia Tech,College/University,101127,1610612743,Denver Nuggets,Denver,Nuggets,COL,NA
2005,23,1,23,Francisco Garcia,SAC,Louisville,College/University,101128,1610612758,Sacramento Kings,Sacramento,Kings,COL,NA
2005,24,1,24,Luther Head,HOU,Illinois,College/University,101129,1610612745,Houston Rockets,Houston,Rockets,COL,NA
2005,25,1,25,Johan Petro,SEA,Elan Bearnais Pau-Orthez,Other Team/Club,101130,1610612760,Seattle SuperSonics,Seattle,SuperSonics,PRO,France
2005,26,1,26,Jason Maxiell,DET,Cincinnati,College/University,101131,1610612765,Detroit Pistons,Detroit,Pistons,COL,NA
2005,27,1,27,Linas Kleiza,POR,Missouri,College/University,101132,1610612757,Portland Trail Blazers,Portland,Trail Blazers,COL,NA
2005,28,1,28,Ian Mahinmi,SAS,STB Le Havre,Other Team/Club,101133,1610612759,San Antonio Spurs,San Antonio,Spurs,PRO,France
2005,29,1,29,Wayne Simien,MIA,Kansas,College/University,101134,1610612748,Miami Heat,Miami,Heat,COL,NA
2005,30,1,30,David Lee,NYK,Florida,College/University,101135,1610612752,New York Knicks,New York,Knicks,COL,NA
2005,31,2,1,Salim Stoudamire,ATL,Arizona,College/University,101136,1610612737,Atlanta Hawks,Atlanta,Hawks,COL,NA
2005,32,2,2,Daniel Ewing,LAC,Duke,College/University,101137,1610612746,Los Angeles Clippers,Los Angeles,Clippers,COL,NA
2005,33,2,3,Brandon Bass,NOK,Louisiana State,College/University,101138,1610612740,New Orleans/Oklahoma City Hornets,New Orleans/Oklahoma City,Hornets,COL,NA
2005,34,2,4,CJ Miles,UTA,Skyline,High School,101139,1610612762,Utah Jazz,Utah,Jazz,HS,NA
2005,35,2,5,Ricky Sanchez,POR,IMG Academy,High School,101140,1610612757,Portland Trail Blazers,Portland,Trail Blazers,HS,NA
2005,36,2,6,Ersan Ilyasova,MIL,Ulkerspor,Other Team/Club,101141,1610612749,Milwaukee Bucks,Milwaukee,Bucks,PRO,Turkey
2005,37,2,7,Ronny Turiaf,LAL,Gonzaga,College/University,101142,1610612747,Los Angeles Lakers,Los Angeles,Lakers,COL,NA
2005,38,2,8,Travis Diener,ORL,Marquette,College/University,101143,1610612753,Orlando Magic,Orlando,Magic,COL,NA
2005,39,2,9,Von Wafer,LAL,Florida State,College/University,101144,1610612747,Los Angeles Lakers,Los Angeles,Lakers,COL,NA
2005,40,2,10,Monta Ellis,GSW,Lanier,High School,101145,1610612744,Golden State Warriors,Golden State,Warriors,HS,NA
2005,41,2,11,Roko Ukic,TOR,KK Split,Other Team/Club,101146,1610612761,Toronto Raptors,Toronto,Raptors,PRO,Croatia
2005,42,2,12,Chris Taft,GSW,Pittsburgh,College/University,101147,1610612744,Golden State Warriors,Golden State,Warriors,COL,NA
2005,43,2,13,Mile Ilic,NJN,KK FMP,Other Team/Club,101148,1610612751,New Jersey Nets,New Jersey,Nets,PRO,Serbia
2005,44,2,14,Martynas Andriuskevicius,ORL,BC Zalgiris,Other Team/Club,101149,1610612753,Orlando Magic,Orlando,Magic,PRO,Lithuania
2005,45,2,15,Lou Williams,PHI,South Gwinnett,High School,101150,1610612755,Philadelphia 76ers,Philadelphia,76ers,HS,NA
2005,46,2,16,Erazem Lorbek,IND,Fortitudo Pallacanestro Bologna,Other Team/Club,101151,1610612754,Indiana Pacers,Indiana,Pacers,PRO,Italy
2005,47,2,17,Bracey Wright,MIN,Indiana,College/University,101152,1610612750,Minnesota Timberwolves,Minnesota,Timberwolves,COL,NA
2005,48,2,18,Mickael Gelabale,SEA,Real Madrid Baloncesto,Other Team/Club,101153,1610612760,Seattle SuperSonics,Seattle,SuperSonics,PRO,Spain
2005,49,2,19,Andray Blatche,WAS,South Kent School,High School,101154,1610612764,Washington Wizards,Washington,Wizards,HS,NA
2005,50,2,20,Ryan Gomes,BOS,Providence,College/University,101155,1610612738,Boston Celtics,Boston,Celtics,COL,NA
2005,51,2,21,Robert Whaley,UTA,Walsh,College/University,101156,1610612762,Utah Jazz,Utah,Jazz,COL,NA
2005,52,2,22,Axel Hervelle,DEN,Real Madrid Baloncesto,Other Team/Club,101157,1610612743,Denver Nuggets,Denver,Nuggets,PRO,Spain
2005,53,2,23,Orien Greene,BOS,Louisiana-Lafayette,College/University,101158,1610612738,Boston Celtics,Boston,Celtics,COL,NA
2005,54,2,24,Dijon Thompson,NYK,California-Los Angeles,College/University,101159,1610612752,New York Knicks,New York,Knicks,COL,NA
2005,55,2,25,Lawrence Roberts,SEA,Mississippi,College/University,101160,1610612760,Seattle SuperSonics,Seattle,SuperSonics,COL,NA
2005,56,2,26,Amir Johnson,DET,Westchester,High School,101161,1610612765,Detroit Pistons,Detroit,Pistons,HS,NA
2005,57,2,27,Marcin Gortat,PHX,Koln 99ers,Other Team/Club,101162,1610612756,Phoenix Suns,Phoenix,Suns,PRO,Germany
2005,58,2,28,Uros Slokar,TOR,Pallalcesto Amatori Udine,Other Team/Club,101166,1610612761,Toronto Raptors,Toronto,Raptors,PRO,Italy
2005,59,2,29,Cenk Akyol,ATL,Anadolu Efes S.K.,Other Team/Club,101164,1610612737,Atlanta Hawks,Atlanta,Hawks,PRO,Turkey
2005,60,2,30,Alex Acker,DET,Pepperdine,College/University,101165,1610612765,Detroit Pistons,Detroit,Pistons,COL,NA
2004,1,1,1,Dwight Howard,ORL,Southwest Atlanta Christian Academy,High School,2730,1610612753,Orlando Magic,Orlando,Magic,HS,NA
2004,2,1,2,Emeka Okafor,CHA,Connecticut,College/University,2731,1610612766,Charlotte Bobcats,Charlotte,Bobcats,COL,NA
2004,3,1,3,Ben Gordon,CHI,Connecticut,College/University,2732,1610612741,Chicago Bulls,Chicago,Bulls,COL,NA
2004,4,1,4,Shaun Livingston,LAC,Peoria,High School,2733,1610612746,Los Angeles Clippers,Los Angeles,Clippers,HS,NA
2004,5,1,5,Devin Harris,WAS,Wisconsin,College/University,2734,1610612764,Washington Wizards,Washington,Wizards,COL,NA
2004,6,1,6,Josh Childress,ATL,Stanford,College/University,2735,1610612737,Atlanta Hawks,Atlanta,Hawks,COL,NA
2004,7,1,7,Luol Deng,PHX,Duke,College/University,2736,1610612756,Phoenix Suns,Phoenix,Suns,COL,NA
2004,8,1,8,Rafael Araujo,TOR,Brigham Young,College/University,2737,1610612761,Toronto Raptors,Toronto,Raptors,COL,NA
2004,9,1,9,Andre Iguodala,PHI,Arizona,College/University,2738,1610612755,Philadelphia 76ers,Philadelphia,76ers,COL,NA
2004,10,1,10,Luke Jackson,CLE,Oregon,College/University,2739,1610612739,Cleveland Cavaliers,Cleveland,Cavaliers,COL,NA
2004,11,1,11,Andris Biedrins,GSW,BK Skonto,Other Team/Club,2740,1610612744,Golden State Warriors,Golden State,Warriors,PRO,Latvia
2004,12,1,12,Robert Swift,SEA,Bakersfield,High School,2741,1610612760,Seattle SuperSonics,Seattle,SuperSonics,HS,NA
2004,13,1,13,Sebastian Telfair,POR,Abraham Lincoln,High School,2742,1610612757,Portland Trail Blazers,Portland,Trail Blazers,HS,NA
2004,14,1,14,Kris Humphries,UTA,Minnesota,College/University,2743,1610612762,Utah Jazz,Utah,Jazz,COL,NA
2004,15,1,15,Al Jefferson,BOS,Prentiss,High School,2744,1610612738,Boston Celtics,Boston,Celtics,HS,NA
2004,16,1,16,Kirk Snyder,UTA,Nevada-Reno,College/University,2745,1610612762,Utah Jazz,Utah,Jazz,COL,NA
2004,17,1,17,Josh Smith,ATL,Oak Hill Academy,High School,2746,1610612737,Atlanta Hawks,Atlanta,Hawks,HS,NA
2004,18,1,18,JR Smith,NOH,Saint Benedict's Preparatory School,High School,2747,1610612740,New Orleans Hornets,New Orleans,Hornets,HS,NA
2004,19,1,19,Dorell Wright,MIA,South Kent School,High School,2748,1610612748,Miami Heat,Miami,Heat,HS,NA
2004,20,1,20,Jameer Nelson,DEN,Saint Joseph's,College/University,2749,1610612743,Denver Nuggets,Denver,Nuggets,COL,NA
2004,21,1,21,Pavel Podkolzin,UTA,Pallacanestro Varese,Other Team/Club,2750,1610612762,Utah Jazz,Utah,Jazz,PRO,Italy
2004,22,1,22,Viktor Khryapa,NJN,PBC CSKA Moscow,Other Team/Club,2751,1610612751,New Jersey Nets,New Jersey,Nets,PRO,Russia
2004,23,1,23,Sergei Monia,POR,PBC CSKA Moscow,Other Team/Club,2752,1610612757,Portland Trail Blazers,Portland,Trail Blazers,PRO,Russia
